           km_, km_check_num,   km_namen, km_rank_under, km_rank_top,    km_link, 
3694 :          @,          0,        410,        999,        999,         -1, 
3695 :          @,          0,        425,        999,        999,         -1, 
3696 :          @,          0,        430,        999,        999,         -1, 
3697 :          @,          0,       1748,        999,        999,         -1, 
3698 :          @,          0,       1984,        999,        999,         -1, 
3699 :          @,          0,       1985,        999,        999,         -1, 
3700 :          @,          0,       1986,        999,        999,         -1, 
3701 :          @,          0,       1983,        999,        999,         -1, 
3702 :          @,          0,       1978,        999,        999,         -1, 
3703 :          @,          0,       2491,          0,        999,         -1, 
3704 :          @,          0,       2511,          0,        999,         -1, 
3705 :          @,          0,       2552,          0,        999,         -1, 
3706 : uniq_mons_hinnah_DLC,          9,       2643,        999,        999,         -1, 
3707 :          @,          0,       2644,        999,        999,         -1, 
3708 :          @,          0,       2645,          0,        999,         -1, 
3709 :          @,          0,        447,        999,        999,         -1, 
3710 :          @,          0,       1748,        999,        999,         -1, 
3711 :          @,          0,       2002,        999,        999,         -1, 
3712 :          @,          0,       2491,          0,        999,         -1, 
3713 :          @,          0,       2512,          0,        999,         -1, 
3714 :          @,          0,       2554,          0,        999,         -1, 
3715 : uniq_mons_young_EV1235_001_BTL,         16,       2646,          0,         64,         -1, 
3716 :          @,          0,       2647,         64,        999,         -1, 
3717 :          @,          0,       2648,        999,        999,         -1, 
3718 :          @,          0,        603,        999,        999,         -1, 
3719 :          @,          0,        604,        999,        999,         -1, 
3720 :          @,          0,        605,        999,        999,         -1, 
3721 :          @,          0,        629,        999,        999,         -1, 
3722 :          @,          0,        630,        999,        999,         -1, 
3723 :          @,          0,        631,        999,        999,         -1, 
3724 :          @,          0,        678,        999,        999,         -1, 
3725 :          @,          0,        679,        999,        999,         -1, 
3726 :          @,          0,        680,        999,        999,         -1, 
3727 :          @,          0,       2491,          0,        999,         -1, 
3728 :          @,          0,       2538,          0,        999,         -1, 
3729 :          @,          0,       2541,          0,        999,         -1, 
3730 :          @,          0,       2550,          0,        999,         -1, 
3731 : uniq_mons_young_DLC,         10,       2646,        999,        999,         -1, 
3732 :          @,          0,       2647,        999,        999,         -1, 
